locationType,location,major,minor,occupation,ethnicity,total,median,mean
Region,Nelson Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Region,Nelson Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Nelson Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,Nelson Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Nelson Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Nelson Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Nelson Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,6,53800,58700
Region,Marlborough Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,6,35600,38800
Region,Marlborough Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,9,41200,42700
Region,Marlborough Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,18,18700,19100
Region,Marlborough Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,12,39600,32300
Region,Marlborough Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Marlborough Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,West Coast Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,6,14200,18200
Region,West Coast Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,West Coast Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Canterbury Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,48,77600,90200
Region,Canterbury Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Managers,Specialist Managers,Code retired,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,24,38400,39600
Region,Canterbury Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,3,..C,..C
Region,Canterbury Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,27,53000,62000
Region,Canterbury Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,3,..C,..C
Region,Canterbury Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,99,33400,37100
Region,Canterbury Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,6,32300,33800
Region,Canterbury Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,3,..C,..C
Region,Canterbury Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,3,..C,..C
Region,Canterbury Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,66,46300,51100
Region,Canterbury Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,18,42500,41000
Region,Canterbury Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,3,..C,..C
Region,Canterbury Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,30,32100,31200
Region,Canterbury Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,18,19900,24800
Region,Canterbury Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,21,20900,19400
Region,Canterbury Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,72,54500,55500
Region,Canterbury Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,12,22700,25600
Region,Canterbury Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,6,57400,50900
Region,Canterbury Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,15,53800,51600
Region,Canterbury Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,81,38600,41500
Region,Canterbury Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,3,..C,..C
Region,Canterbury Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,18,46600,46600
Region,Canterbury Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,402,19000,22000
Region,Canterbury Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,69,12100,13100
Region,Canterbury Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,9,37500,34600
Region,Canterbury Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,6,38100,37300
Region,Canterbury Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,243,39400,37300
Region,Canterbury Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,15,12800,17700
Region,Canterbury Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,51,37300,40200
Region,Canterbury Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,9,32400,31400
Region,Canterbury Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,0,..C,..C
Region,Canterbury Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,18,9400,12500
Region,Canterbury Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,18,42300,42700
Region,Otago Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,9,86500,105000
Region,Otago Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Otago Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Otago Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,18,40900,33400
Region,Otago Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Otago Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,6,85300,90800
Region,Otago Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Otago Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,27,35100,35800
Region,Otago Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Otago Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Otago Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Otago Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Otago Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Otago Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Otago Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,12,53800,62500
Region,Otago Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,9,49200,44600
Region,Otago Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Otago Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,15,31700,30400
Region,Otago Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Otago Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,Otago Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,9,16000,18100
Region,Otago Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Otago Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Otago Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Otago Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,Otago Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,30,30800,31800
Region,Otago Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Otago Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,12,37600,36800
Region,Otago Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Otago Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Otago Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Otago Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,144,17300,19800
Region,Otago Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,18,14600,17700
Region,Otago Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Otago Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Region,Otago Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Otago Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,57,39300,36800
Region,Otago Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Otago Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,12,40700,56200
Region,Otago Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Otago Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Otago Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Otago Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Southland Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Region,Southland Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Southland Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Region,Southland Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Southland Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,Southland Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Southland Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,18,23900,28400
Region,Southland Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Southland Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Southland Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Southland Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Southland Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Southland Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,9,49200,51400
Region,Southland Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,Southland Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Region,Southland Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,Southland Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Region,Southland Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Southland Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Southland Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Southland Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,Southland Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,9,43700,52600
Region,Southland Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Southland Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,Southland Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Southland Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Southland Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,39,18900,21700
Region,Southland Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Region,Southland Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Southland Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Region,Southland Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Southland Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,15,35900,32300
Region,Southland Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,Southland Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Southland Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Southland Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Southland Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
